yyyymm,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
187304,5.04,0.31,0.44,,,,,,,,,0.007107419852412446,0.061507936507936505,0.060665362035225046,0.0873015873015873,0.7045454545454546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187305,5.05,0.3125,0.4425,,,,,,,,,0.008051970870693204,0.06188118811881188,0.062003968253968256,0.08762376237623763,0.7062146892655368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187306,4.98,0.315,0.445,,,,,,,,,0.005631558886348765,0.06325301204819277,0.062376237623762376,0.08935742971887549,0.7078651685393258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187307,4.97,0.3175,0.4475,,,,,,,,,0.004679628563237692,0.06388329979879276,0.06375502008032129,0.09004024144869216,0.7094972067039106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187308,4.97,0.32,0.45,,,,,,,,,0.004391835674855273,0.06438631790744467,0.06438631790744467,0.09054325955734407,0.7111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187309,4.59,0.3225,0.4525,,,,,,,,,0.004849352574335015,0.07026143790849673,0.06488933601609659,0.09858387799564271,0.712707182320442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187310,4.19,0.325,0.455,,,,,,,,,0.010177210661824903,0.07756563245823389,0.07080610021786493,0.10859188544152744,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187311,4.04,0.3275,0.4575,,,,,,,,,0.01181541633415559,0.08106435643564357,0.07816229116945107,0.11324257425742575,0.7158469945355191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187312,4.42,0.33,0.46,,,,,,,,,0.01033955536809191,0.0746606334841629,0.08168316831683169,0.10407239819004525,0.717391304347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187401,4.66,0.33,0.46,,,,,,,,,0.006871282097842258,0.07081545064377683,0.0746606334841629,0.09871244635193133,0.717391304347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187402,4.8,0.33,0.46,,,,,,,,,0.005129766157887115,0.06875,0.07081545064377683,0.09583333333333334,0.717391304347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187403,4.73,0.33,0.46,,,,,,,,,0.0040671462623212635,0.06976744186046512,0.06875,0.09725158562367864,0.717391304347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187404,4.6,0.33,0.46,,,,,,,,,0.0041704565299457205,0.07173913043478261,0.06976744186046512,0.1,0.717391304347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187405,4.48,0.33,0.46,,,,,,,,,0.004251628883079224,0.07366071428571429,0.07173913043478261,0.10267857142857142,0.717391304347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187406,4.46,0.33,0.46,,,,,,,,,0.003816249898090438,0.07399103139013453,0.07366071428571429,0.1031390134529148,0.717391304347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187407,4.46,0.33,0.46,,,,,,,,,0.003742456849787253,0.07399103139013453,0.07399103139013453,0.1031390134529148,0.717391304347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187408,4.47,0.33,0.46,,,,,,,,,0.003779353373938846,0.0738255033557047,0.07399103139013453,0.10290827740492171,0.717391304347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187409,4.54,0.33,0.46,,,,,,,,,0.003653905191823433,0.07268722466960353,0.0738255033557047,0.10132158590308371,0.717391304347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
